sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_Vc-pont-C4-mf-2c.wav,0.49148016149752577,-5.740892822899517,0.49221732041807287,3,4,9,-8.875,-0.12516314295400605,1000,-0.03408265290482659,-0.031133232814269284,-8.875
n_PFL_FLatter_f_C6.wav,0.5050137161460779,-34.07412864496423,0.5045649531725424,4,3,9,9.875,0.125163142954006,-4500,0.020055536793055828,0.018260320065596237,9.875
n_Cb-pizz_lv-C3-pp.wav,0.3575712582536204,-259.74403442477967,0.34906309587837303,1,7,8,-55.75,-0.7884573603642702,-45000,-0.585921236772849,-0.6231600196949831,-55.75
n_Tbn-flatt-C5-ff.wav,0.5001793399473838,2.3262648366238015,0.5010677212021197,4,4,8,0.5,0.0,-1100,0.0007173598202983536,0.004270891300404361,0.5
n_Cb-pizz_lv-C2-mf.wav,0.419907136396072,-128.91545145000677,0.42054459934208405,1,5,10,-37.0,-0.5108256237659907,-23100,-0.32315461737474105,-0.32053816162093474,-37.0
n_MA_ES_A-So_f_C3.wav,0.47360258598291866,-55.409130861449086,0.48055665414093596,3,4,9,-8.875,-0.12516314295400605,-8100,-0.10568792359463249,-0.07781262135983331,-8.875
n_MA_ES_A-Ha_f_C7.wav,0.5446914134140696,75.67720789199068,0.5455704869012648,4,2,10,19.25,0.25131442828090617,11300,0.1792440190387621,0.18278919724437803,19.25
n_Vn-pizz_lv-C6-ff.wav,0.5662143292584043,121.10006698133033,0.5709498945991235,5,2,9,28.625,0.3794896217049037,22300,0.2664221142251723,0.2857277476273416,28.625
n_TpC-brassy-C5-ff.wav,0.7352820941310262,413.4270784172528,0.7422756402934267,11,0,5,103.625,1.6863989535702288,68200,1.0215894742763585,1.0578300164861512,103.625
n_Fl-ord-C5-ff.wav,0.5275143568452899,63.41609489535123,0.528746598007931,4,3,9,9.875,0.125163142954006,7600,0.11016872013376224,0.115113338494759,9.875
n_Ob-mul-C6+_D#5+_A#4-f.wav,0.42576459433450087,-125.72957853636285,0.4224059440918986,1,4,11,-27.625,-0.3794896217049037,-20900,-0.2991528285721548,-0.3129044920275343,-27.625
n_TpC-ord-C6-pp.wav,0.5853908929885668,130.62599131825982,0.593308203389222,6,2,8,38.0,0.5108256237659907,24900,0.3449436516949313,0.3776583577881823,38.0
n_TpC-ord-C5-pp.wav,0.5086931412580493,16.15559644334946,0.5082759010589034,2,2,12,0.5,0.0,2900,0.03477606938413817,0.03310662777753082,0.5
n_Fl-flatt-C4-pp.wav,0.46340854652476526,-87.85446406180222,0.4619641189979716,2,4,10,-18.25,-0.25131442828090605,-10000,-0.14662795577330062,-0.15243802769106513,-18.25
n_MA_ES_A-Ha_p_C5.wav,0.44370789525009613,-101.55947766064826,0.44540173963742025,1,4,11,-27.625,-0.3794896217049037,-8800,-0.22612707220380618,-0.21926733583181066,-27.625
n_Cb-pizz_lv-C4-pp.wav,0.4801884970036123,-20.48383528489085,0.4822410777655093,2,3,11,-8.875,-0.12516314295400605,-5500,-0.07928752271532855,-0.07106558248422488,-8.875
n_Cb-pizz_bartok-C3-ff.wav,0.5550877395135163,62.15504482465892,0.5579184608279969,5,2,9,28.625,0.3794896217049037,13300,0.22124909518511465,0.2327184813267673,28.625
n_Hp-ord-C2-ff.wav,0.5568034047844163,150.706046732927,0.561156336933173,5,3,8,19.25,0.25131442828090617,22600,0.2281987707877967,0.24585631308762804,19.25
n_Xyl_HO_p_C7.wav,0.6507805058084499,284.84926972814316,0.6523520281930697,8,1,7,66.125,0.9382696385929302,46500,0.6224717730009465,0.6293939442440523,66.125
n_Hn-ord-C3-pp.wav,0.2536278422464438,-484.699041507806,0.24293601239553092,0,11,5,-102.625,-1.6863989535702288,-74500,-1.0793563422174879,-1.1366496925546028,-102.625
n_Va-nonvib-C5-pp.wav,0.5007450569325633,-2.9088350670536016,0.5044452545689502,2,2,12,0.5,0.0,-100,0.002980229936061238,0.01778148677541311,0.5
n_Cb-nonvib-C5-pp.wav,0.5564319424791602,83.35651075273813,0.5571316945644558,4,1,11,28.625,0.3794896217049037,12500,0.22669362211054644,0.22952920054212309,28.625
n_Fl-ord-C7-mf.wav,0.6165972155091352,193.46081183338148,0.6168811303720557,8,2,6,56.75,0.7884573603642703,32500,0.47512990635173996,0.47633104233352935,56.75
n_Xyl_HO_f_C8.wav,0.49684081151793447,3.2967894442468353,0.4972698299464582,2,2,12,0.5,0.0,-2000,-0.012636922093312969,-0.010920788750612422,0.5
n_Hn-ord-C5-pp.wav,0.32760122812437503,-305.43808379603706,0.3287122980871026,1,10,5,-83.875,-1.2729656758128873,-47000,-0.7190544742286571,-0.7140149166782712,-83.875
n_Va-nonvib-C5-ff.wav,0.5858762657392524,174.74118342350872,0.590017297681758,5,1,10,38.0,0.5108256237659907,22800,0.3469438124689414,0.3640368852340222,38.0
n_Bn-mul-C#3_C3_C2_C#4-mf.wav,0.36883508691845585,-200.85256710027502,0.3629413044895256,0,6,10,-55.75,-0.7884573603642702,-35300,-0.5372175551241479,-0.5626206694161499,-55.75
n_Tbn-pedal_tone-C1-f.wav,0.3178458693254047,-327.1988625807222,0.31398785684445113,1,10,5,-83.875,-1.2729656758128873,-56000,-0.7636890527411532,-0.7815410162715924,-83.875
n_Ob-flatt-C6-mf.wav,0.49231916193147734,-7.391799747182688,0.49130330281837536,3,3,10,0.5,0.0,-6700,-0.0307257693264181,-0.034790297381078084,0.5
n_BKL_stac_mf1_C4.wav,0.5258112691194347,50.70007693072543,0.5312139023813831,2,1,13,9.875,0.125163142954006,7200,0.10333693553416204,0.12501818689876582,9.875
n_Vn-ord-C7-pp.wav,0.5449803369614098,17.422325141052973,0.5500472307086907,5,2,9,28.625,0.3794896217049037,6500,0.18040908155587415,0.20086152842979885,28.625
n_Vn-pizz_lv-C7-pp.wav,0.44740323374118235,-123.58491319466026,0.44530971527076585,1,3,12,-18.25,-0.25131442828090605,-16000,-0.21116828372378818,-0.21963988299769727,-18.25
n_BKL-L_pA_sus_pp_C2.wav,0.2879079060665788,-372.1346805950799,0.28352040733426404,0,10,6,-93.25,-1.466337068793427,-56300,-0.9055665900634196,-0.9270656607692631,-93.25
n_ClBb-flatt-C6-ff.wav,0.5510593940365265,112.39529394497522,0.5600829388132168,6,4,6,19.25,0.25131442828090617,14300,0.20495199822595636,0.2414986659446381,19.25
n_ASax-ord-C4-ff.wav,0.6138946115835232,215.9588671760048,0.6204534178066311,7,2,7,47.375,0.6466271649250525,32700,0.4637129118573554,0.4914731942680556,47.375
n_MA_ES_A-So_f_C5.wav,0.533343887940215,49.282969658312545,0.5313384310689422,4,2,10,19.25,0.25131442828090617,9000,0.13357379958712365,0.125518258328327,19.25
n_Hn-ord-C4-pp.wav,0.3456347964116587,-242.9309286276298,0.34376082940705505,1,9,6,-74.5,-1.0986122886681098,-42200,-0.6382828949509893,-0.6465791596019033,-74.5
n_Bn-ord-C4-pp.wav,0.39369775548085906,-186.521112068278,0.39238822027581555,1,6,9,-46.375,-0.6466271649250525,-31700,-0.43179511822170713,-0.43728445027870355,-46.375
n_Fl-mul-A#5_G#4_C#6_C5-mf.wav,0.42808012908673543,-96.93311573723147,0.42949865213273897,2,6,8,-37.0,-0.5108256237659907,-21100,-0.2896885001997309,-0.28389692871102007,-37.0
