sounds,centMed,centIqr,bandwidthMed,bandwidthIqr,contrastMed,contrastIqr,rolloffMed,rolloffIqr,flatnessMed,flatnessIqr,zcrMed,zcrStd,zcrIqr,crestMed,crestIqr,fluxMed,fluxStd,fluxIqr,HPRMed,HPRIqr,HNRMed,HNRIqr,LAT,Release,Att_slope,Dec_slope,MPS_rough,F0
n_TpC-ord-C6-mf.wav,2282.968416282706,158.31113115902963,2141.463257025782,135.3436658141718,28.534720468042437,18.89824023243045,3165.380859375,925.927734375,1.6497735487064347e-05,6.018842668709112e-06,0.04736328125,0.0014039090534982,0.0,215.65516662597656,19.80670547485352,0.023636913684285,0.0841739594060233,0.0149230602947853,0.8399806618690491,0.0699847042560577,35.873379443388565,2.343434834353758,-0.9827205317731792,5.327120181405896,7.991836424472416,-0.0320161943537132,58.44018412929266,1046.5
n_Hp-ord-C6-ff.wav,1567.4204461305346,142.76875206267505,1712.133499057384,519.4398559259805,25.51359751849572,14.619790282853083,2067.1875,705.21240234375,6.73000477036112e-06,1.5982711602191557e-05,0.04736328125,0.0028804483861327,0.0,276.130126953125,67.48625946044922,0.1074541710747838,0.196311655917265,0.0676612498215923,0.8027310371398926,0.1709703207015991,31.252726501582025,4.363220156952348,-1.1951144963691116,0.1894784580498866,14.151707449016431,-10.557416878219522,46.25445734965084,1046.5
n_BTb-flatt-C3-mf.wav,363.6868942475163,14.702311012197413,589.9870596302535,92.7311732377924,17.976456391717957,4.584591140527213,516.796875,21.533203125,2.589085852378048e-07,1.7026630416694388e-07,0.01025390625,0.001733409977833,0.0029296875,128.42864990234375,8.573387145996094,0.040914644366819,0.1176756748715082,0.0133680343543846,0.6933394074440002,0.1419906616210937,13.028336070441988,4.145836529256046,-1.0707548963740403,2.085419501133787,8.574815636880738,0.0586769023913081,57.38617033191146,130.8
n_Vc-ord-C6-mf.wav,2996.1767385135645,314.07009394108945,3302.5277632370944,308.4831591446459,27.072850286635475,23.78891351930621,5254.1015625,1098.193359375,0.0001152466866187,6.489110819529742e-05,0.084228515625,0.0171004699407358,0.0302734375,133.01116943359375,26.26227569580078,0.2486175063379207,0.1163283244725075,0.165033046170944,0.811654806137085,0.1083997189998626,27.510303443082652,3.2844031794927986,-0.8775797784464209,6.051791383219955,5.133513054832196,-0.0523210486051826,63.31308562920659,1046.5
n_Cb-pont-C3-mf-2c.wav,1147.1159479581158,353.25557374333425,1952.56452601405,384.9664649326139,22.06195885178214,6.468405029842081,1668.8232421875,667.529296875,5.092495848657563e-05,2.823315844580065e-05,0.01953125,0.0032470017411626,0.00439453125,126.38078308105467,49.73286056518555,0.0172288302540646,0.0702157790585694,0.0095113496492981,0.6789926886558533,0.1256439536809921,19.976986536765185,4.974958739968411,-0.1655692033710262,4.7417687074829935,1.1937489313437726,0.0251068147253576,62.22589152212407,130.8
n_Va-ord-C5-pp.wav,1799.233980452061,184.1623442038458,1986.384842876644,92.10162277681412,27.17768365736636,15.049922394974528,2627.05078125,516.796875,4.068197449669242e-05,1.575045371282613e-05,0.058349609375,0.0109219561255664,0.0205078125,123.62693786621094,20.647624969482425,0.0475161803582679,0.0651656285705521,0.0464383833690717,0.809002161026001,0.1080839931964874,24.750091860790207,3.923515001593621,-0.2535387922943055,6.286077097505669,1.1963686606801898,-0.1008899397836251,65.18837400451777,523.3
n_MA_ES_A-Ha_f_C2.wav,221.0638947644849,466.15875617622976,2018.098703565941,1609.1478256760893,16.920459247788834,10.020510902094989,86.1328125,0.0,1.0740270681708353e-06,4.1126999015261845e-06,0.0029296875,0.0096457474922022,0.0,479.3982849121094,20.823272705078125,0.0122596673817827,0.0971727905271496,0.0002864605566016,0.8081157803535461,0.0907034873962402,7.96121284899961,3.801560667113179,-1.166160757548234,0.5093424036281179,13.298398002110163,-1.5661019556943008,52.18012946719311,65.4
n_MA_ES_A-So_f_C4.wav,333.68437435805936,118.64727502988724,1189.560703395381,1081.7542905941357,19.08606934892333,11.19558210555962,279.931640625,0.0,2.102849094853809e-07,9.093651698321992e-07,0.01171875,0.0008929585296785,0.00048828125,437.1053466796875,26.006622314453125,0.0594306145719604,0.2023915078881067,0.0052380243647687,0.91100013256073,0.1247340440750122,49.4481716921679,12.744334803231702,-1.0172776370930627,0.4783219954648526,9.446708114058218,-2.8512711808394977,46.170892262239306,261.6
n_TpC+C-ord-C6-mf.wav,5376.578830734385,265.581547988053,3387.649087896504,156.3710594248314,34.07217789102963,30.91917541498171,9270.0439453125,1033.59375,4.920865467283875e-05,2.301531912962673e-05,0.189453125,0.017353689189746,0.00048828125,119.23550415039062,10.263656616210938,0.0411278764747594,0.0906417888030971,0.0319263502346386,0.8821297883987427,0.0696585923433303,32.21187472376634,2.813378500522923,-0.7887377586324013,5.637936507936508,5.021616088874445,-0.0454549602331433,61.8159677625754,1046.5
n_Hp-harm_fingering-C4-p.wav,388.78955930649727,79.5342045321018,1723.655493146754,1181.3583795342488,19.241954896090228,10.614153401117688,279.931640625,0.0,9.46824911807198e-07,4.081322579452262e-06,0.01171875,0.0019079744830457,0.00048828125,409.0068359375,70.72306060791016,0.0111533801194351,0.0537220212418149,0.0060369820103848,0.8004966974258423,0.1863094121217727,32.973617451020175,3.734833900398901,-1.0921354801294845,1.172312925170068,11.274937059740996,-0.6733297168655361,52.102144968241646,261.6
n_Ob-mul-C5+_A#5_B4-f.wav,3028.6539811240664,314.2093353764772,2657.8917880612844,267.2206697634633,28.54589649527717,17.147161473401695,4457.373046875,430.6640625,0.0001200465194415,8.483646888635121e-05,0.10498046875,0.0118241296818124,0.0068359375,96.89105987548828,8.549924850463867,0.0134319397180036,0.0829788082617077,0.0024270337596577,0.9071319699287416,0.0603328645229339,19.72441840474086,1.7527556997841351,-0.8577581362711897,5.973287981859411,7.21869148779115,-0.0895495770961486,61.13018896521972,-100.0
n_MA_ES_A-Ha_p_C5.wav,545.0148816717636,9.947778917205824,868.0366523063922,846.6858497104241,15.111765881472024,9.13498832951558,538.330078125,0.0,7.03315166106222e-08,6.133340271219367e-07,0.02392578125,0.0025072938920459,0.00048828125,436.09967041015625,56.8572998046875,0.104783055456583,0.2346082998041986,0.0462700158265992,0.9178836345672609,0.2039600908756256,43.95120732934022,13.36531517113481,-1.0624889310945207,0.2663945578231292,10.35788657266607,-7.50797670157986,43.81541147424807,523.3
