sounds,instrument,technique
n_Fl-mul-F#4_C5-mf.wav,flute,multiphonic
n_Bn-ord-C2-pp.wav,bassoon,ordinario
n_BTb-flatt-C2-mf.wav,bass_tuba,flatterzunge
n_BTb-ord-C4-ff.wav,bass_tuba,ordinario
n_KFA_Flatter_f_C1.wav,contrabassoon,flatterzunge
n_Va-pizz_lv-C6-ff.wav,alto,pizzicato
n_Gsp_ME_f_C8.wav,glokenspiel,hard_stick
n_Cb-nonvib-C4-pp.wav,doublebass,non_vibrato
n_ClBb-mul-E4_A5+_D6+_G4-mf.wav,clarinet,multiphonic
n_ClBb-ord-C6-ff.wav,clarinet,ordinario
n_Vc-ord-C6-pp.wav,cello,ordinario
n_MA_ES_A-So_p_C6.wav,marimba,soft_stick
n_Hp-ord-C6-pp.wav,harpa,ordinario
n_PFL-L_LV_nA_sus_mf_C6.wav,piccolo_flute,ordinario
n_Ob-ord-C5-mf.wav,oboe,ordinario
n_Va-pizz_lv-C6-mf.wav,alto,pizzicato
n_MA_ES_A-So_f_C3.wav,marimba,soft_stick
n_Vib_ES_Ha_sp-0_f1_C4.wav,vibraphone,hard_stick
n_Vn-ord-C7-pp.wav,violin,ordinario
n_Cb-nonvib-C5-ff.wav,doublebass,non_vibrato
n_MA_ES_A-Ha_f_C7.wav,marimba,hard_stick
n_Fl-aeolian+ord-C7-pp.wav,flute,semi_eolian
n_KFA-L_nA_sus_mf_C3.wav,contrabassoon,ordinario
n_Va-pizz_lv-C4-mf.wav,alto,pizzicato
n_Hn-flatt-C4-pp.wav,french_horn,flatterzunge
n_BTb-play+sing_aug4th-C4-mf.wav,bass_tuba,sing_play
n_Vn-pizz_lv-C5-ff.wav,violin,pizzicato
n_Fl-mul-C#6+_C5+_D#5_G5-mf.wav,flute,multiphonic
n_BKL-L_pA_sus_f_C3.wav,bass_clarinet,ordinario
n_BTb-play+sing_5th-C3-mf.wav,bass_tuba,sing_play
n_Gtr-ord-C3-pp.wav,guitare,ordinario
n_Cb-pizz_bartok-C4-ff.wav,doublebass,pizzicato_bartok
n_ASax-mul-E4_G4_F#5+-mf.wav,alto_saxophone,multiphonic
n_BKL-L_pA_sus_pp_C3.wav,bass_clarinet,ordinario
n_Vc-ord-C2-pp.wav,cello,ordinario
n_Vn-pizz_bartok-C6-ff.wav,violin,pizzicato_bartok
