sounds,instrument,technique
n_TpC-ord-C5-ff.wav,trumpet,ordinario
n_Vc-ord-C4-ff.wav,cello,ordinario
n_Xyl_HO_f_C5.wav,xylophone,hard_stick
n_Va-pont-C6-mf.wav,alto,sul_ponticello
n_Xyl_GA_f_C7.wav,xylophone,soft_stick
n_ClBb-ord_C7-pp.wav,clarinet,ordinario
n_Cb-nonvib-C3-ff.wav,doublebass,non_vibrato
n_MA_ES_A-Ha_p_C2.wav,marimba,hard_stick
n_TpC-stacc-C4-mf.wav,trumpet,staccato
n_Xyl_GA_p_C5.wav,xylophone,soft_stick
n_Ob-ord-C4-mf.wav,oboe,ordinario
n_PFL-L_LV_nA_sus_mf_C7.wav,piccolo_flute,ordinario
n_Fl-aeolian+ord-C6-mf.wav,flute,semi_eolian
n_TpC-flatt-C4-pp.wav,trumpet,flatterzunge
n_BTb-ord-C2-ff.wav,bass_tuba,ordinario
n_MA_ES_A-Ha_p_C3.wav,marimba,hard_stick
n_Bn-flatt-C4-mf.wav,bassoon,flatterzunge
n_Cb-pizz_lv-C2-mf.wav,doublebass,pizzicato
n_Va-harm_artificial-C5-mf.wav,alto,artificial_harmonic
n_Vc-harm_artificial-C6-mf.wav,cello,artificial_harmonic
n_Tbn-ord-C3-pp.wav,trombone,ordinario
n_Vc-ord-C3-pp.wav,cello,ordinario
n_Vn-nonvib-C6-ff.wav,violin,non_vibrato
n_Vc-ord-C2-ff.wav,cello,ordinario
n_Vc-nonvib-C4-pp.wav,cello,non_vibrato
n_Xyl_HO_p_C7.wav,xylophone,hard_stick
n_BTb-flatt-C4-mf.wav,bass_tuba,flatterzunge
n_Vc-ord-C4-pp.wav,cello,ordinario
n_BTb-play+sing_min2nd-C4-mf.wav,bass_tuba,sing_play
n_Fl-flatt-C6-ff.wav,flute,flatterzunge
n_Cb-pont-C2-mf-3c.wav,doublebass,sul_ponticello
n_PFL-L_LV_nA_sus_f_C6.wav,piccolo_flute,ordinario
n_BKL-L_pA_sus_mf_C3.wav,bass_clarinet,ordinario
n_Ob-ord-C6-mf.wav,oboe,ordinario
n_TpC-flatt-C4-mf.wav,trumpet,flatterzunge
n_Vc-nonvib-C3-ff.wav,cello,non_vibrato
n_Vc-harm_artificial-C7-mf.wav,cello,artificial_harmonic
n_Fl-ord-C6-ff.wav,flute,ordinario
n_KFA-L_nA_sus_mf_C1.wav,contrabassoon,ordinario
n_Vib_ES_Ha_sp-0_p1_C4.wav,vibraphone,hard_stick
n_Bn-mul-F#4+_C#4-mf.wav,bassoon,multiphonic
n_Vn-ord-C6-pp.wav,violin,ordinario
n_BTb-ord-C4-pp.wav,bass_tuba,ordinario
n_Hn-ord-C5-mf.wav,french_horn,ordinario
n_Va-nonvib-C5-ff.wav,alto,non_vibrato
n_AFL_flatter_p_C4.wav,alto_flute,flatterzunge
n_Hn-stacc-C2-mf.wav,french_horn,staccato
n_TpC-ord-C6-ff.wav,trumpet,ordinario
n_Tbn-brassy-C3-ff.wav,trombone,brassy
n_Vn-nonvib-C4-ff.wav,violin,non_vibrato
n_Vn-pizz_lv-C6-pp.wav,violin,pizzicato
n_PFL-L_LV_nA_sus_p_C7.wav,piccolo_flute,ordinario
n_Fl-mul-G5_F4_C#6-mf.wav,flute,multiphonic
n_Vn-nonvib-C7-ff.wav,violin,non_vibrato
n_Vn-nonvib-C7-pp.wav,violin,non_vibrato
n_Fl-ord-C4-ff.wav,flute,ordinario
n_ClBb-flatt-C5-ff.wav,clarinet,flatterzunge
n_Fl-ord-C5-ff.wav,flute,ordinario
n_Bn-ord-C2-ff.wav,bassoon,ordinario
n_Bn-ord-C5-mf.wav,bassoon,ordinario
n_KFA-L_nA_sus_mf_C2.wav,contrabassoon,ordinario
n_Cb-ord-C2-ff.wav,doublebass,ordinario
n_Fl-aeolian+ord-C5-pp.wav,flute,semi_eolian
n_Vn-pizz_lv-C6-ff.wav,violin,pizzicato
n_Fl-flatt-C4-pp.wav,flute,flatterzunge
n_MA_ES_A-So_p_C3.wav,marimba,soft_stick
n_Cb-ord-C4-ff.wav,doublebass,ordinario
n_Va-ord-C4-pp.wav,alto,ordinario
n_Hp-harm_fingering-C5-p.wav,harpa,harmonic
n_ClBb-flatt-C4-pp.wav,clarinet,flatterzunge
n_Ob-ord-C6-ff.wav,oboe,ordinario
n_MA_ES_A-Ha_f_C3.wav,marimba,hard_stick
