sounds,SE_brillant,SE_chaud,SE_rond,SE_rugueux,CN_brillant,CN_chaud,CN_rond,CN_rugueux,NE_brillant,NE_chaud,NE_rond,NE_rugueux,EX_brillant,EX_chaud,EX_rond,EX_rugueux
n_Xyl_HO_f_C7.wav,0.5981650900917055,0.3213027949507042,0.3201214219014863,0.5098924883610151,0.6086707163323053,0.2519565637635361,0.3573796430453509,0.4457749675042765,0.6175549929502122,0.3584802262649826,0.433227193746608,0.3415912689047904,0.6207235240456538,0.2487572954451683,0.3160695173219819,0.4738027692427039
n_KFA-L_nA_sus_mf_C1.wav,0.2455067410627547,0.6103492094602668,0.6113435986922581,0.655562910945769,0.4702337477980247,0.5880473448874074,0.5825534783303996,0.6818197177819397,0.3929194631644444,0.6332210525214409,0.4601058068583989,0.5402902169389788,0.3522631621861377,0.6187885013266994,0.6123615874653837,0.6973864005544503
n_Xyl_HO_f_C8.wav,0.5016643601414746,0.2731402673891213,0.2990688147396803,0.2795733251427389,0.49570312197307,0.3105354244761163,0.3662659283655731,0.3077443427056803,0.6035708523451994,0.2866878042289303,0.5058046279344109,0.3850810981570546,0.4965625882856413,0.2563446106805152,0.3096578718086417,0.2538876493782627
n_KFA-L_nA_sus_mf_C3.wav,0.4022562391980815,0.581731171165206,0.6850412524008715,0.4838065941345272,0.5711419041990271,0.5073260215284524,0.4572348986933084,0.5778686592354588,0.4364259460789456,0.6759589536534805,0.6764983017816449,0.4646517719717671,0.474286709869572,0.5499924536581234,0.5781695441235465,0.5314269240557888
n_Vn-pizz_lv-C5-pp.wav,0.3689096516114966,0.4409326978424185,0.5140739704094921,0.3110687737250768,0.3542529950836419,0.4116010482360163,0.4920755915864935,0.3508362992952206,0.5819927231419756,0.3578541283197988,0.4921067878653745,0.2813905331611924,0.3489155434430294,0.4094247893849922,0.4890097505755001,0.3061310814671102
n_Hn-ord-C3-pp.wav,0.2349115457214998,0.5854064451027405,0.7366861745286716,0.415277241286233,0.3410188382991068,0.6473091024104028,0.648247384064394,0.3390298482478426,0.3460531386778885,0.6865947440544141,0.6515373289680009,0.4816405606098741,0.254273489252537,0.636985263433352,0.7298982830791846,0.3531925095698794
n_ASax-ord-C4-mf.wav,0.507821835533669,0.5586876815317626,0.5396840630893865,0.5025068356800431,0.5047767181261923,0.6093066628147976,0.6074828629796574,0.4513317783924536,0.4647623901032286,0.4989936683817492,0.5076665894208158,0.4307831899114014,0.5078455200760432,0.5933267791995,0.5775210115099613,0.4679762372406682
n_BKL-L_pA_sus_mf_C4.wav,0.4207313581932679,0.7268689379222377,0.6704608564475197,0.384457405525376,0.4279282183029985,0.6073991914945522,0.6160694063886234,0.3522855237865278,0.5306882675906259,0.5348957754422276,0.6869114844732107,0.2713317742551154,0.4077683546728526,0.7029906659895593,0.6695961721145068,0.340073413746475
n_EH-L_pA_sus_pp_C5.wav,0.4739105634878213,0.4863965993356257,0.5688595903851447,0.3847301415277104,0.4537222116971049,0.566349462435041,0.5360771153049616,0.4943318376811624,0.5804548147943002,0.5769263099200356,0.5733364043705408,0.462403808495385,0.457682370547237,0.5323831839998414,0.5583493631693093,0.4231407853073826
n_Vn-ord-C4-ff.wav,0.6193172482894279,0.6407125524344774,0.493157107236459,0.6193889020230887,0.5691113647787089,0.6929569395498457,0.6119101773386673,0.5198409102456585,0.5355943721189717,0.4718045083907518,0.468814676392723,0.5004166512708998,0.5980633414938255,0.6855496715896601,0.5522044153397927,0.5881534859070545
n_Tbn-ord-C5-pp.wav,0.3657608514926218,0.6085622570974363,0.5591637810409869,0.4981572370021316,0.4869008318867058,0.504378010364865,0.5053587710468482,0.4873659276716759,0.4951435784570297,0.539393362783355,0.5452878451492752,0.5077299984033574,0.4195544372155936,0.5692060985364014,0.5478081064371991,0.484450893699529
n_BKL-L_pA_sus_pp_C2.wav,0.3228722805043341,0.7276510170724728,0.7570878370051478,0.410705230618324,0.3125665727250677,0.7565840600788137,0.7076411151210092,0.4036610880397459,0.3818542639163552,0.6854421043313139,0.7311304606168918,0.424918566697759,0.2881054098973937,0.7845291994932873,0.7719564798362402,0.3881480388425231
n_Vn-harm_artificial-C7-mf.wav,0.6413061007124589,0.2744335195217415,0.4199023354068046,0.6459276300272336,0.635753843230089,0.4818828449856233,0.3701176291915216,0.500263171216915,0.5238330330151482,0.3197437334251171,0.3496874266292083,0.6265789441007459,0.6655700447107055,0.377184307427088,0.3771969548218862,0.5886564767246318
n_ClBb-flatt-C5-pp.wav,0.4116450732571395,0.3901437727392623,0.509284696421329,0.5653867952407761,0.3611331338481185,0.494539265413454,0.5318114520393208,0.4991596230340586,0.3840822119269605,0.3957855849030217,0.3858767435809799,0.690517249763592,0.3806464930914341,0.4394876244136636,0.5301832597651467,0.5366193852292691
n_BTb-play+sing_aug4th-C3-mf.wav,0.2338204578650813,0.5886153414371,0.6151642242228638,0.6647133394964437,0.3068358292234145,0.4293035678115438,0.4983603942681316,0.7276305881413505,0.3363121889326491,0.5219153049469208,0.4232067243906905,0.7152276937532503,0.2326602103274641,0.5028976396319652,0.5520196534109584,0.7356791484031738
n_Fl-aeolian+ord-C5-pp.wav,0.3410570910840134,0.6402143653365293,0.5955720800756366,0.2950908406363821,0.3588539357838783,0.4982436657306237,0.5441656825341084,0.5034086226873047,0.4914836719184575,0.5817214627732799,0.5917320589828023,0.4977164339420293,0.3249853785550157,0.5723986656141979,0.5791482375910134,0.3891435133010644
n_Fl-aeolian+ord-C6-ff.wav,0.7622552793551549,0.6801272085608839,0.6019931792982272,0.3729448881967535,0.513721350193521,0.5716285787983296,0.4540117168137909,0.3796712951980173,0.5423507281620988,0.4210417261606911,0.3815038136169263,0.6538720517460209,0.6368116581119171,0.6393487806856499,0.5291009503654317,0.3514185645002317
